 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
  63.000  -0.09907  -0.05470   0.11317  -151.096   -1.0571   **   0.01020  -0.03365   0.03516   -73.143  -11.2113   **   -0.6570   -77.9530 
  64.000  -0.09827  -0.05483   0.11253  -150.840   -1.1063   **   0.00976  -0.03284   0.03426   -73.451  -11.4366   **   -0.7214   -77.3890 
  65.000  -0.09749  -0.05495   0.11191  -150.591   -1.1544   **   0.00933  -0.03198   0.03331   -73.744  -11.6795   **   -0.7857   -76.8467 
  66.000  -0.09673  -0.05507   0.11131  -150.349   -1.2012   **   0.00890  -0.03108   0.03233   -74.023  -11.9410   **   -0.8496   -76.3259 
  67.000  -0.09600  -0.05517   0.11073  -150.115   -1.2468   **   0.00847  -0.03013   0.03130   -74.289  -12.2221   **   -0.9130   -75.8264 
  68.000  -0.09530  -0.05527   0.11017  -149.889   -1.2910   **   0.00806  -0.02913   0.03023   -74.541  -12.5242   **   -0.9758   -75.3481 
  69.000  -0.09462  -0.05536   0.10962  -149.671   -1.3338   **   0.00764  -0.02810   0.02912   -74.780  -12.8485   **   -1.0377   -74.8910 
  70.000  -0.09397  -0.05544   0.10910  -149.462   -1.3751   **   0.00724  -0.02702   0.02797   -75.007  -13.1969   **   -1.0986   -74.4550 
  71.000  -0.09335  -0.05551   0.10861  -149.261   -1.4148   **   0.00683  -0.02591   0.02679   -75.221  -13.5712   **   -1.1582   -74.0400 
  72.000  -0.09275  -0.05558   0.10813  -149.069   -1.4529   **   0.00644  -0.02476   0.02558   -75.423  -13.9737   **   -1.2164   -73.6460 
  73.000  -0.09219  -0.05564   0.10768  -148.886   -1.4892   **   0.00605  -0.02357   0.02434   -75.612  -14.4070   **   -1.2729   -73.2731 
  74.000  -0.09165  -0.05570   0.10725  -148.712   -1.5239   **   0.00566  -0.02236   0.02306   -75.790  -14.8745   **   -1.3276   -72.9211 
